	research_title	research_subject
1165	폐렴구균 예방접종 이후 발생한 국소 및 전신피부이상반응 = A Case of Local and Generalized Skin Adverse Reactions after Pneumococcal Vaccination	Adverse reaction ;  Drug eruption ;  Maculopapular ;  Pneumococcal vaccines ;  Skin rash
1166	고름자궁의 자발적 천공으로 인한 범복막염 = Spontaneous uterine perforation of pyometra presented as an acute abdomen A case report	자발적인 자궁천공 ;  고름자궁 ;  복막염 Spontaneous uterine perforation ;  Pyometra ;  Peritonitis
1167	복막투석 환자에서 발생한 소장의 이소성 석회화 = A Case of Isolated Small Intestinal Wall Calcification on Patient with Continuous Ambulatory Peritoneal Dialysis	Calcification ;  ectopic ;  Small intestine ;  Continuous ambulatory peritoneal dialysis
1168	Case Reports : A Case of Primary Cutaneous CD4 Positive Small/medium T Cell Lymphoma = Case Reports : A Case of Primary Cutaneous CD4 Positive Small/medium T Cell Lymphoma	CD4 ;  Cutaneous T cell Lymphoma ;  Small/medium
1169	갑상선 유두암환자에서 방삿성 옥소 치료와 고식적 방사선 치료 후 발생한 급성 골수성 백혈병	Acute myelogenous leukemia ;  Thyroid carcinoma ;  Radioactive iodine therapy
1170	증예(症例) : 급성 파종성 뇌척수염에 동반된 급성 운동 축삭형 신경병증 = Case Reports : Acute Motor Axonal Neuropathy Combined with Acute Disseminated Encephalomyelitis	Encephalomyelitis ;  Acute disseminated ;  Acute motor axonal neuropathy
1171	소아암환자에서 발생하는 급성 복증 = Acute Surgical Abdomen in Childhood Malignancies	Malignancy ;  Children ;  Surgery ;  Abdomen ;  Complication
1172	Angiogenic Inhibitor Induced Complicated Reflux Esophagitis	Angiogenesis inhibitor ;  Gastroesophageal reflux ;  Sunitinib
1173	증례 : 소화기 ; 췌장의 림프상피성 낭종 1예 = Case Reports : Gastroenterology ; A Lymphoepithelial cyst of the pancreas: A case report	Lymphoepithelial cyst ;  Pancreas ;  림프상피성 낭종 ;  췌장
1174	결핵성 삼각근하 점액낭염 - 증례 보고 - = Tuberculous Subdeltoid Bursitis - A Case Report -	견관절 ;  삼각근하 점액낭 ;  결핵
1175	전립선비대증에 대한 홀미움레이저 전립선절제술 후 지속되는 저장증상의 위험인자	Prostate ;  Holmium ;  Prostatectomy
1176	치료 후 액와 림프절의 전이를 보인 비인강암 1례 = A Case of Nasopharyngeal Carcinoma with Metastatic Axillary Node after Concurrent Chemoradiotherapy	Nasopharyngeal carcinoma ;  Lymph node metastasis ;  Axillary node ;  비인강암 ;  림프절 전이 ;  액와 림프절.
1177	혈액종양의 새로운 치료 ; 만성 림프구 백혈병의 새로운 치료 = Novel Agents in the Treatment of Chronic Lymphocytic Leukemia	만성 림프구 백혈병 ;  전향적 연구 ;  치료 ;  Chronic lymphocytic leukemia ;  CLL ;  Prospective studies ;  Treatment
1178	치은에 발생한 고립성 형질세포증의 치험례 = PLASMACYTOMA OF THE GINGIVA:CASE REPORT AND REVIEW OF LITERATURE.	Gingiva ;  Plasmacytoma ;  Kidney transplanation
1179	Correlation Between Functional Myocardial Perfusion Imaging and Anatomical Cardiac CT in a Case of Myocardial Bridging	Myocardial perfusion imaging ;  Myocardial bridging ;  Multidetector computed tomography ;  SPECT
1180	원발성 여성 요도 종양의 임상특성 및 추적관찰 = Clinical Characteristics and Follow-up study in Primary Female Urethral Tumors	Female urethra ;  Primary urethral tumor ;  Urethral mass
1181	구개골에 발생한 악성 Peripheral Nerve Sheath Tumor의 증례보고 = MALIGNANT PERIPHERAL NERVE SHEATH TUMOR ON PALATE: A CASE REPORT	Malignant peripheral nerve sheath tumor ;  MPNST ;  Subtotal maxillectomy
1182	Reverse Total Shoulder Replacement for an Enchondroma with Concomitant Rotator Cuff Tear Arthropathy = A Case Report	Humerus ;  Enchondroma ;  Rotator cuff tear arthropathy ;  Total shoulder replacement
1183	Case Report : Melanosis Ilei Associated with Chronic Ingestion of Oral Iron = Case Report : Melanosis Ilei Associated with Chronic Ingestion of Oral Iron	Hemosiderin ;  Melanosis ;  Ileum
1184	Case Reports : Spontaneous rupture of the Lateral thoracic artery in patients with Liver cirrhosis	Rupture ;  Spontaneous ;  Thoracic Artery ;  Liver Cirrhosis
1185	다발성 경부종격동 부갑상샘 선종증 1예 = A Case of Multiple Cervico-Mediastinal Parathyroid Adenomatosis	Neck ;  Mediastinum ;  Parathyroid adenoma
1186	젊은 남자에서 캡슐내시경으로 진단한 급성 광범위 허혈성 소장염 = Acute Extensive Ischemic Enteritis in a Young Man Diagnosed with Wireless Capsule Endoscopy A Case Report	Ischemia ;  Enteritis ;  Capsule endoscopy
1187	갑상설관 낭종에서 발생한 유두상 선암 1례 = A case of Papillary Adenocarcinoma Arising from Thyroglossal Duct Cyst	Papillary adenocarcinoma ;  Thyroglossal duct cyst
1188	Very-Late Onset Diffuse Large B-cell Lymphoma with CD3 Coexpression in a Kidney Transplant Patient = Very-Late Onset Diffuse Large B-cell Lymphoma with CD3 Coexpression in a Kidney Transplant Patient	Neoplasm transplantation ;  Lymphoproliferative disorder ;  Diffuse large B-cell lymphoma
1189	S-280 : A case of paragonimiasis presented with pseudochylothorax = S-280 : A case of paragonimiasis presented with pseudochylothorax	Paragonimiasis ;  pseudochylothorax
1190	불명열의 원인으로 제시된 아급성 갑상선염의 증례 = Case of Subacute Thyroiditis Presenting as the Cause of Fever of Unknown Origin	Fever of Unknown Origin ;  Thyroiditis ;  Subacute ;  불명열 ;  아급성 갑상선염
1191	Methoxy Polyethylene Glycol-Epoetin Beta에 의해 유발된 백혈구파쇄성 혈관염 = Leukocytoclastic Vasulitis Induced by Methoxy Polyethylene Glycol-Epoetin Beta	Leukocytoclastic vasculitis ;  Methoxy polyethylene glycol-epoetin beta ;  Mircera(R)
1192	박기저막 질환에 동반된 성인 미세변화 신증후군 예 1 = Case Report : A Case of Adult Minimal Change Nephrotic Syndrome Associated with Thin Basement Membrane Nephropathy	Minimal change nephrotic syndrome ;  Glomerular basement membrane ;  Hematuria
1193	두경부 감염증에 나타난 내경정맥혈전증의 장기적 추적 결과: = LEMIERRE SYNDROME: A CASE REPORT	Internal jugular thrombosis ;  Lemierre syndrome
1194	P006 : A study on the clinical manifestations and aeroallergen sensitization of childhood atopic dermatitis, in Dongjak-gu, Seoul = P006 : A study on the clinical manifestations and aeroallergen sensitization of childhood atopic dermatitis, in Dongjak-gu, Seoul	Atopic dermatitis ;  Aeroallergen ;  House dust mite ;  Immunoglobulin E ;  Respiratory allergy
1195	[P391] Aggressive systemic metastasis of Merkel cell carcinoma from the buttock = [P391] Aggressive systemic metastasis of Merkel cell carcinoma from the buttock	Buttock ;  Merkel cell carcinoma ;  Systemic metastasis
1196	[P191] A case of coexistence of venous lake and Fordyce spot. = [P191] A case of coexistence of venous lake and Fordyce spot.	Venous lake ;  Fordyce spot
1197	B형 간염 바이러스에 의한 만성 간질환 환자에서 라미부딘 치료 도중 나타난 Viral Breakthrough의 임상적 의미 = The Clinical Meaning of the Emergence of Viral Breakthrough during Lamivudine Treatment in Patients with Hepatitis B Virus Related Chronic Liver Disease	B형 간염 ;  라미부딘 ;  Breakthrough ;  Hepatitis B/Chronic ;  Lamivudine
1198	성인에서 발생한 갑상선 농양 1예 = Thyroid Abscess in an Adult: A Case Report and Review of the Literature	갑상선 농양 ;  절개와 배농 ;  Thyroid abscess ;  Incision and drainage
1199	Pregnancy and COVID-19: past, present and future = Pregnancy and COVID-19: past, present and future	Pregnancy ;  COVID-19 ;  Severe acute respiratory syndrome coronavirus 2 ;  Risk factors ;  Vertical infection transmission
1200	[P456] Drug-induced acneiform eruption: Cross reactivity between valproate, oxcarbazepine and topiramate = [P456] Drug-induced acneiform eruption: Cross reactivity between valproate, oxcarbazepine and topiramate	Acneiform eruption ;  Adverse drug reaction ;  Antiepileptic drug ;  Cross reactivity
1201	[P491] A case of ochronosis with atypical manifestation involving the perioral area and palpebra = [P491] A case of ochronosis with atypical manifestation involving the perioral area and palpebra	Ochronosis ;  Hyperpigmentation ;  Exogenous ochronosis
1202	Primary Cytomegalovirus Peritonitis Following Unrelated Hematopoietic Stem Cell Transplantation	Cytomegalovirus ;  Peritonitis ;  Stem cell transplantation
1203	간경변증 환자의 영양상태에 대한 고찰 = Assessment of Malnutrition in patients with liver cirrhosis	Liver cirrhosis ;  Malnutrition ;  Child classification
1204	요족변형을 동반한 소아에서 진단된 만성 염증성 탈수초성 다발신경병증 1예 = A Case of Chronic Inflammatory Demyelinating Polyneuropathy in a 13-year-old Girl with Pes Cavus Deformity	Chronic inflammatory demyelinating polyneuropathy ;  Hereditary motor-sensory neuropathy ;  Childhood ;  Pes cavus ;  Nerve conduction study
1205	증례 : 소화기 ; 항암 치료 중인 위암 환자에서 피부 전이로 오인된 스파르가눔증 = Case Reports : Gastroenterology ; A case of sparganosis mimicking a skin metastasis in a patient with stomach cancer	Sparganosis ;  Cancer ;  스파르가눔증 ;  암
1206	Nationwide Multicenter Study for Overlaps of Common Functional Gastrointestinal Disorders in Korean Patients With Constipation = Nationwide Multicenter Study for Overlaps of Common Functional Gastrointestinal Disorders in Korean Patients With Constipation	Constipation ;  Dyspepsia ;  Gastroesophageal reflux ;  Overlapping
1207	단일성 안와 골병변으로 확인된 갑상선 여포암의 원격 전이 1예 = A Case of Solitary Metastatic Deposit in the Orbital Rim from Follicular Thyroid Cancer	Follicular thyroid carcinoma ;  Bone metastasis ;  Orbit rim metastasis
1208	Multiple Myeloma Manifesting as a Fluctuating Sixth Nerve Palsy	Fluctuating ;  Multiple myeloma ;  Sixth cranial nerve palsy
1209	연구논문 : 타일랜드 공공의료제도의 특성과 변화: 탁신정부의 전국민의료보장제도 성립 전후 비교 = The Nature and Changing Aspects of Thailand`s Public Health Care Institutions: A Comparison before and after the Establishment of Thaksin`s Universal Health Coverage Scheme	Thailand ;  health care ;  public health care institutions ;  Universal Health Coverage Scheme ;  Thaksin government
1210	Case Report : A Case of Spontaneous Hemoperitoneum Presenting as the Initial Manifestation of Systemic Lupus Erythematosus = Case Report : A Case of Spontaneous Hemoperitoneum Presenting as the Initial Manifestation of Systemic Lupus Erythematosus	Hemoperitoneum ;  Thrombocytopenia ;  Lupus erythematosus ;  systemic
1211	Neonatal arrhythmias: diagnosis, treatment, and clinical outcome	Arrhythmias ;  Neonate
1212	식도암과 동반된 갑상선의 편평세포암종 = Squamous Cell Carcinoma of Thyroid Gland Associated with Esophageal Carcinoma -Diagnostic Dilemma-	Squamous cell carcinoma ;  Thyroid gland ;  Esophagus
1213	Massive Mediastinal Lymph Node Involvement of Cryptococcosis in Immunocompetent Host	Cryptococcosis ;  Lymph nodes ;  Immunocompetent ;  Pneumonia
1214	Case Reports : Actinomycosis of the Upper Lip = Case Reports : Actinomycosis of the Upper Lip	Actinomycosis ;  Sulfur granules
1215	불명열을 주소로 내원한 원발성 중추신경계 림프종 1예 = A case of central nervous system lymphoma with initial manifestation of fever of unknown origin	Primary CNS lymphoma ;  Peripheral T-cell lymphoma ;  FUO ;  Panhypopituitarism
1216	면역기능이 정상인 환자에서 저용량 스테로이드를 복용 후 발생한 폐 효모균증 1례 = A Case of Pulmonary Cryptococcosis obscured in an Immunocompetent Patient after Low dose Steroid Therapy	Cryptococcus neoformans ;  Immunocompetent patient ;  Steroid ;  Pneumonia
1217	Cohexisting Medullary and Papillary Thyroid Cancer	Carcinoma ;  papillary ;  Carcinoma ;  medullary ;  Thyroid neoplasms ;  Synchronous neoplasms ;  Complications ;  Therapy
1218	전신성 경피증에 동반된 갑상선 기능저하증과 부갑상선 기능저하증 1예 = A case of hypoparathyroidism and hypothyroidism in systemic sclerosis	Systemic sclerosis ;  Hypothyroidism ;  Hypoparathyroidism
1219	대뇌에 전이한 포상연부육종 1예  :  증례 보고 Case Report = A case of intracerebral metastasis of Alveolar Soft Part Sarcoma	Alveolar soft part sarcoma ;  Intracerebral metastasis ;  Histogenesis
1220	림프절에 발생한 골수외 고립 형질세포종 = Extramedullary Solitary Plasmacytoma of the Lymph Nodes	Plasmacytoma ;  Lymph nodes ;  형질세포종 ;  림프절
1221	승모판 협착증과 동반된 자유롭게 부유하는 좌심방 구형혈전 1례 = A case of Free-floating Left Atrial Ball Thrombus in Mitral Stenosis	Open heart surgery ;  Mitral stenosis ;  Left atrial ball thrombus
1222	소아에서 진단된 원발성 하지불안증후군 1례 = A Case of Idiopathic Restless Legs Syndrome in a Child.	Idiopathic restless legs syndrome ;  Children
1223	경부 악성 림프종과 동반된 유두상 갑상선암 = Synchronous Presentation of Papillary Thyroid Cancer and Malignant Lymphoma	Thyroid cancer ;  Malignant lymphoma ;  Synchronous
1224	양측성 안와후방 악성림프종 1례 = A Case of Bilateral Retroorbital Non-Hodgkin	Non-Hodgkin's Iymphoma ;  Retroorbital ;  Bilateral
1225	특발성 소장-결장성 림프구성 정맥염 -1예 보고- = Idiopathic Entero-colic Lymphocytic Phlebitis -A case report-	Lymphocytic phlebitis ;  Intestinal ischemic necrosis ;  Thrombosis ;  Mesenteric reins ;  Entero-colic vasculitis
1226	간기능검사의 이상 소견으로 발현된 전신성 유전분증 2예 = Two Cases of Systemic Amyloidosis Presenting with Abnormalities in Liver Function Tests	Amyloidosis ;  Liver function tests ;  Hepatomegaly
1227	경부의 괴사성 근막염 치험례 = Cervical necrotizing faciitis : report of a case	Necrotizing fasciitis ;  Mixed synergistic infection ;  Wide surgical debridement
1228	Tumoral calcinosis and calciphylaxis treated with subtotal parathyroidectomy and sodium thiosulphate = Tumoral calcinosis and calciphylaxis treated with subtotal parathyroidectomy and sodium thiosulphate	Tumoral calcinosis ;  Calciphylaxis ;  Parathyroidectomy ;  Sodium thiosulphate
1229	외음부에 발생한 악성 말초 신경섬유초종 1 예 = A Case of Malignant peripheral nerve sheath tumor of vulva	peripheral sheath tumor ( schwannoma ) ;  sarcoma ;  vulva ;  말초 신경 세포종 ;  육종 ;  외음부
1230	이차성 유아구성 외투 세포림프종 1예 = Blastoid Mantle Cell Lymphoma: A Case Report이차성 유아구성 외투 세포림프종 1예	Blastoid ;  Mantle cell Lymphoma ;  Skin
1231	기관지결석증에 대한 연구 = A Study on Broncholithiasis	Broncholith ;  Lithoptysis ;  Calcification ;  Bronchoscopy ;  Removal
1232	이식신에 국소성으로 발생한 침습성 아스페르길루스증 1예 = Case Report : A Case of Invasive Aspergillosis Limited to Renal Allograft	Aspergillus ;  Invasive aspergillosis ;  Renal/kidney transplantation
1233	증례 : 소화기 ; 궤양성 대장염 환자에서 발생한 뇌경색 1예 = Case Reports : Gastroenterology ; A case of cerebral thromboembolism in ulcerative colitis	Ulcerative colitis ;  Cerebral infarction ;  Thromboembolism ;  궤양성 대장염 ;  뇌경색 ;  혈전색전증
1234	난소에서 발생한 악성 난소 갑상선종 = A Case of Malignant Struma Ovarii	난소기형종 ;  갑상선조직 ;  악성난소갑상선종 ;  Mature teratoma ;  Thyroid tissue ;  Malignant struma ovarii
1235	Electrolyte and Acid-Base Disturbances Associated with Non-Steroidal Anti-Inflammatory Drugs = Electrolyte and Acid-Base Disturbances Associated with Non-Steroidal Anti-Inflammatory Drugs	Edema ;  Hyponatremia ;  Renal tubular acidosis ;  Non-steroidal anti-inflammatory agents
